holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,weekend,date
None,289.21,0.0,0.0,1,Clear,sky is clear,2015-07-02 08:00:00,4987,0,2015-07-02
None,288.55,0.0,0.0,1,Clear,sky is clear,2015-07-03 08:00:00,2523,0,2015-07-03
None,292.2,0.0,0.0,1,Haze,haze,2015-07-04 08:00:00,1613,1,2015-07-04
None,293.82,0.0,0.0,40,Clouds,scattered clouds,2015-07-05 08:00:00,1482,1,2015-07-05
None,294.0,0.66,0.0,90,Rain,heavy intensity rain,2015-07-06 08:00:00,4911,0,2015-07-06
None,285.84,0.0,0.0,1,Clear,sky is clear,2015-07-07 08:00:00,5340,0,2015-07-07
None,288.81,0.0,0.0,1,Clear,sky is clear,2015-07-08 08:00:00,5431,0,2015-07-08
None,291.15,0.0,0.0,1,Haze,haze,2015-07-09 08:00:00,5450,0,2015-07-09
None,293.72,0.0,0.0,1,Clear,sky is clear,2015-07-10 08:00:00,5146,0,2015-07-10
None,294.27,0.0,0.0,1,Clear,sky is clear,2015-07-11 08:00:00,2470,1,2015-07-11
None,295.39,0.0,0.0,90,Clouds,overcast clouds,2015-07-12 08:00:00,2114,1,2015-07-12
None,293.17,0.0,0.0,40,Rain,light rain,2015-07-13 08:00:00,5369,0,2015-07-13
None,295.33,0.0,0.0,1,Haze,haze,2015-07-14 08:00:00,5324,0,2015-07-14
None,291.14,0.0,0.0,1,Rain,moderate rain,2015-07-15 08:00:00,5467,0,2015-07-15
None,293.71,0.0,0.0,90,Clouds,overcast clouds,2015-07-16 08:00:00,5417,0,2015-07-16
None,293.25,0.0,0.0,90,Mist,mist,2015-07-17 08:00:00,5245,0,2015-07-17
None,294.25,0.0,0.0,1,Clear,sky is clear,2015-07-18 08:00:00,2626,1,2015-07-18
None,292.42,0.0,0.0,1,Clear,sky is clear,2015-07-19 08:00:00,1801,1,2015-07-19
None,294.59,0.0,0.0,40,Clouds,scattered clouds,2015-07-20 08:00:00,5149,0,2015-07-20
None,291.43,0.0,0.0,1,Clear,sky is clear,2015-07-21 08:00:00,4986,0,2015-07-21
None,293.32,0.0,0.0,1,Clear,sky is clear,2015-07-22 08:00:00,5318,0,2015-07-22
None,292.51,0.0,0.0,1,Clear,sky is clear,2015-07-23 08:00:00,4841,0,2015-07-23
None,293.25,0.25,0.0,75,Rain,light rain,2015-07-24 08:00:00,5063,0,2015-07-24
None,295.27,0.0,0.0,1,Clear,sky is clear,2015-07-25 08:00:00,1,1,2015-07-25
None,295.53,0.0,0.0,90,Clouds,overcast clouds,2015-07-26 08:00:00,1215,1,2015-07-26
None,296.42,0.0,0.0,40,Clouds,scattered clouds,2015-07-27 08:00:00,5347,0,2015-07-27
None,294.58,13.32,0.0,90,Rain,heavy intensity rain,2015-07-28 08:00:00,5045,0,2015-07-28
None,293.4,0.0,0.0,1,Clear,sky is clear,2015-07-29 08:00:00,5299,0,2015-07-29
