host_id,host_since,host_is_superhost,update,start_month,host_duration
4635658,2013-01-08,t,2019-05-31,1.0,2334.0
2466,2008-08-23,t,2019-05-31,8.0,3933.0
2466,2008-08-23,t,2019-05-31,8.0,3933.0
8028,2009-02-16,t,2019-05-31,2.0,3756.0
8186,2009-02-19,t,2019-05-31,2.0,3753.0
13879,2009-04-17,t,2019-05-31,4.0,3696.0
14156,2009-04-20,t,2019-05-31,4.0,3693.0
25298,2009-07-11,f,2019-05-31,7.0,3611.0
57982,2009-11-27,t,2019-05-31,11.0,3472.0
58635,2009-11-30,f,2019-05-31,11.0,3469.0
80406,2010-02-11,t,2019-05-31,2.0,3396.0
80511,2010-02-12,f,2019-05-31,2.0,3395.0
84906,2010-02-24,f,2019-05-31,2.0,3383.0
56488,2009-11-22,t,2019-05-31,11.0,3477.0
89031,2010-03-06,t,2019-05-31,3.0,3373.0
102862,2010-04-03,t,2019-05-31,4.0,3345.0
140174,2010-06-07,f,2019-05-31,6.0,3280.0
161189,2010-07-08,f,2019-05-31,7.0,3249.0
210965,2010-08-24,t,2019-05-31,8.0,3202.0
170787,2010-07-18,f,2019-05-31,7.0,3239.0
210965,2010-08-24,t,2019-05-31,8.0,3202.0
215917,2010-08-28,f,2019-05-31,8.0,3198.0
230553,2010-09-10,t,2019-05-31,9.0,3185.0
12409,2009-04-06,t,2019-05-31,4.0,3707.0
230747,2010-09-10,f,2019-05-31,9.0,3185.0
235136,2010-09-15,f,2019-05-31,9.0,3180.0
268988,2010-10-23,t,2019-05-31,10.0,3142.0
272156,2010-10-27,t,2019-05-31,10.0,3138.0
303006,2010-11-28,f,2019-05-31,11.0,3106.0
336916,2011-01-06,t,2019-05-31,1.0,3067.0
272156,2010-10-27,t,2019-05-31,10.0,3138.0
347068,2011-01-14,f,2019-05-31,1.0,3059.0
82762,2010-02-18,t,2019-05-31,2.0,3389.0
355348,2011-01-20,t,2019-05-31,1.0,3053.0
268988,2010-10-23,t,2019-05-31,10.0,3142.0
377037,2011-02-04,f,2019-05-31,2.0,3038.0
377618,2011-02-05,f,2019-05-31,2.0,3037.0
378744,2011-02-05,t,2019-05-31,2.0,3037.0
128514,2010-05-20,f,2019-05-31,5.0,3298.0
382510,2011-02-08,t,2019-05-31,2.0,3034.0
387130,2011-02-11,f,2019-05-31,2.0,3031.0
387918,2011-02-11,t,2019-05-31,2.0,3031.0
393795,2011-02-15,t,2019-05-31,2.0,3027.0
394019,2011-02-15,f,2019-05-31,2.0,3027.0
393905,2011-02-15,t,2019-05-31,2.0,3027.0
404260,2011-02-22,t,2019-05-31,2.0,3020.0
407740,2011-02-24,f,2019-05-31,2.0,3018.0
177441,2010-07-22,t,2019-05-31,7.0,3235.0
408534,2011-02-24,t,2019-05-31,2.0,3018.0
394012,2011-02-15,t,2019-05-31,2.0,3027.0
411190,2011-02-26,f,2019-05-31,2.0,3016.0
1665428,2012-01-28,t,2019-05-31,1.0,2680.0
382265,2011-02-08,f,2019-05-31,2.0,3034.0
416628,2011-03-01,f,2019-05-31,3.0,3013.0
416628,2011-03-01,f,2019-05-31,3.0,3013.0
419192,2011-03-02,t,2019-05-31,3.0,3012.0
419707,2011-03-02,f,2019-05-31,3.0,3012.0
421002,2011-03-03,f,2019-05-31,3.0,3011.0
422239,2011-03-04,f,2019-05-31,3.0,3010.0
423131,2011-03-04,t,2019-05-31,3.0,3010.0
423241,2011-03-04,t,2019-05-31,3.0,3010.0
423840,2011-03-05,t,2019-05-31,3.0,3009.0
424158,2011-03-05,f,2019-05-31,3.0,3009.0
424128,2011-03-05,t,2019-05-31,3.0,3009.0
424338,2011-03-05,f,2019-05-31,3.0,3009.0
424835,2011-03-05,t,2019-05-31,3.0,3009.0
424999,2011-03-05,f,2019-05-31,3.0,3009.0
425706,2011-03-06,f,2019-05-31,3.0,3008.0
427758,2011-03-07,f,2019-05-31,3.0,3007.0
430091,2011-03-08,t,2019-05-31,3.0,3006.0
428761,2011-03-07,f,2019-05-31,3.0,3007.0
436771,2011-03-11,f,2019-05-31,3.0,3003.0
445746,2011-03-16,f,2019-05-31,3.0,2998.0
456230,2011-03-22,t,2019-05-31,3.0,2992.0
321037,2010-12-17,f,2019-05-31,12.0,3087.0
487072,2011-04-05,f,2019-05-31,4.0,2978.0
236847,2010-09-16,t,2019-05-31,9.0,3179.0
213651,2010-08-26,t,2019-05-31,8.0,3200.0
543367,2011-04-28,t,2019-05-31,4.0,2955.0
578211,2011-05-11,t,2019-05-31,5.0,2942.0
578249,2011-05-11,t,2019-05-31,5.0,2942.0
419707,2011-03-02,f,2019-05-31,3.0,3012.0
634580,2011-05-27,f,2019-05-31,5.0,2926.0
578211,2011-05-11,t,2019-05-31,5.0,2942.0
578211,2011-05-11,t,2019-05-31,5.0,2942.0
41259,2009-09-25,f,2019-05-31,9.0,3535.0
688306,2011-06-10,t,2019-05-31,6.0,2912.0
475506,2011-03-31,t,2019-05-31,3.0,2983.0
707052,2011-06-15,f,2019-05-31,6.0,2907.0
741170,2011-06-24,f,2019-05-31,6.0,2898.0
372205,2011-02-01,f,2019-05-31,2.0,3041.0
760426,2011-06-29,f,2019-05-31,6.0,2893.0
347068,2011-01-14,f,2019-05-31,1.0,3059.0
628942,2011-05-26,f,2019-05-31,5.0,2927.0
746286,2011-06-26,f,2019-05-31,6.0,2896.0
835236,2011-07-18,t,2019-05-31,7.0,2874.0
861520,2011-07-24,f,2019-05-31,7.0,2868.0
670910,2011-06-06,t,2019-05-31,6.0,2916.0
951551,2011-08-10,f,2019-05-31,8.0,2851.0
989596,2011-08-18,t,2019-05-31,8.0,2843.0
729047,2011-06-21,f,2019-05-31,6.0,2901.0
1018853,2011-08-25,t,2019-05-31,8.0,2836.0
1029071,2011-08-28,t,2019-05-31,8.0,2833.0
1109019,2011-09-04,t,2019-05-31,9.0,2826.0
307872,2010-12-02,t,2019-05-31,12.0,3102.0
1129520,2011-09-08,f,2019-05-31,9.0,2822.0
1134580,2011-09-09,f,2019-05-31,9.0,2821.0
583537,2011-05-12,t,2019-05-31,5.0,2941.0
1169129,2011-09-16,f,2019-05-31,9.0,2814.0
1185793,2011-09-20,t,2019-05-31,9.0,2810.0
1182382,2011-09-19,f,2019-05-31,9.0,2811.0
1207603,2011-09-25,t,2019-05-31,9.0,2805.0
578211,2011-05-11,t,2019-05-31,5.0,2942.0
