id,host_since,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1078,2013-01-08,10.0,10.0,10.0,10.0,10.0,10.0
2265,2008-08-23,9.0,10.0,10.0,10.0,8.0,9.0
5245,2008-08-23,10.0,8.0,10.0,9.0,10.0,9.0
5456,2009-02-16,10.0,10.0,10.0,10.0,10.0,10.0
5769,2009-02-19,10.0,10.0,10.0,10.0,10.0,10.0
6413,2009-04-17,10.0,10.0,10.0,10.0,10.0,10.0
6448,2009-04-20,10.0,10.0,10.0,10.0,10.0,10.0
8502,2009-07-11,9.0,9.0,10.0,10.0,9.0,9.0
14765,2009-11-27,10.0,10.0,10.0,10.0,10.0,9.0
14913,2009-11-30,10.0,10.0,10.0,10.0,9.0,10.0
21126,2010-02-11,10.0,10.0,10.0,10.0,10.0,9.0
21145,2010-02-12,10.0,10.0,10.0,10.0,9.0,9.0
22166,2010-02-24,10.0,9.0,10.0,10.0,10.0,10.0
22828,2009-11-22,10.0,10.0,10.0,10.0,10.0,10.0
22982,2010-03-06,10.0,10.0,10.0,10.0,10.0,10.0
25028,2010-04-03,10.0,10.0,10.0,10.0,9.0,10.0
32396,2010-06-07,10.0,10.0,10.0,10.0,10.0,10.0
37324,2010-07-08,10.0,10.0,10.0,10.0,10.0,10.0
39993,2010-08-24,10.0,10.0,10.0,10.0,10.0,10.0
40285,2010-07-18,10.0,10.0,10.0,10.0,10.0,9.0
46929,2010-08-24,10.0,10.0,10.0,10.0,10.0,10.0
47572,2010-08-28,10.0,10.0,10.0,10.0,10.0,10.0
50310,2010-09-10,10.0,10.0,10.0,10.0,10.0,10.0
50318,2009-04-06,10.0,10.0,10.0,10.0,10.0,10.0
50334,2010-09-10,10.0,10.0,10.0,10.0,10.0,10.0
51100,2010-09-15,10.0,8.0,10.0,10.0,10.0,10.0
56690,2010-10-23,10.0,10.0,10.0,10.0,10.0,10.0
57187,2010-10-27,10.0,10.0,10.0,10.0,10.0,10.0
62279,2010-11-28,,,,,,
68130,2011-01-06,10.0,10.0,10.0,10.0,10.0,10.0
69303,2010-10-27,10.0,10.0,10.0,10.0,10.0,10.0
69352,2011-01-14,10.0,10.0,10.0,10.0,10.0,10.0
69810,2010-02-18,10.0,10.0,10.0,10.0,10.0,10.0
70258,2011-01-20,10.0,10.0,10.0,10.0,10.0,10.0
70812,2010-10-23,10.0,10.0,10.0,10.0,10.0,10.0
72633,2011-02-04,10.0,10.0,10.0,10.0,10.0,10.0
72706,2011-02-05,10.0,9.0,10.0,10.0,10.0,9.0
72833,2011-02-05,10.0,10.0,10.0,10.0,10.0,10.0
73005,2010-05-20,10.0,10.0,10.0,10.0,9.0,10.0
73289,2011-02-08,10.0,10.0,10.0,10.0,10.0,10.0
73898,2011-02-11,9.0,9.0,10.0,10.0,9.0,9.0
