date,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2020-03-15,2.0,0.67,0.05,0.0,0.0,0.0
2020-03-22,10.43,3.38,0.27,0.0,0.0,0.0
2020-03-29,14.29,14.96,1.18,0.14,0.01,0.0
2020-04-05,40.14,24.97,1.96,0.71,0.12,0.01
2020-04-12,44.86,42.88,3.37,0.43,0.24,0.02
2020-04-19,47.71,53.03,4.16,2.29,0.5,0.04
2020-04-26,43.43,45.24,3.55,2.0,0.8,0.06
2020-05-03,49.14,45.55,3.58,1.86,1.45,0.11
2020-05-10,53.0,51.67,4.06,1.14,1.69,0.13
2020-05-17,47.43,48.39,3.8,2.43,2.0,0.16
2020-05-24,55.43,52.66,4.13,1.0,1.85,0.15
2020-05-31,60.71,59.26,4.65,1.29,1.63,0.13
2020-06-07,60.71,62.1,4.87,0.57,1.41,0.11
2020-06-14,121.14,94.43,7.41,1.0,1.13,0.09
2020-06-21,237.86,148.74,11.67,0.86,0.93,0.07
2020-06-28,321.57,275.11,21.59,1.0,0.95,0.08
2020-07-05,459.71,455.43,35.75,2.86,1.15,0.09
2020-07-12,444.14,447.73,35.15,4.57,1.98,0.16
2020-07-19,408.29,453.84,35.63,4.86,2.69,0.21
2020-07-26,262.0,297.29,23.34,5.43,3.85,0.3
2020-08-02,247.71,232.08,18.22,5.43,4.42,0.35
2020-08-09,215.71,249.12,19.55,2.71,4.49,0.35
2020-08-16,202.86,202.16,15.87,5.29,4.55,0.36
2020-08-23,227.43,227.65,17.87,3.14,4.24,0.33
2020-08-30,99.71,138.81,10.9,3.29,3.77,0.3
2020-09-06,76.43,78.8,6.18,2.0,3.51,0.28
2020-09-13,104.57,90.1,7.07,1.29,3.01,0.24
2020-09-20,105.71,116.53,9.15,1.57,2.37,0.19
2020-09-27,115.86,95.75,7.52,1.71,1.77,0.14
2020-10-04,78.14,96.06,7.54,0.43,1.47,0.12
2020-10-11,66.57,70.61,5.54,1.71,1.39,0.11
2020-10-18,98.71,88.39,6.94,0.57,1.22,0.09
2020-10-25,85.0,89.41,7.02,0.57,1.12,0.09
2020-11-01,95.57,89.53,7.03,0.43,0.95,0.08
2020-11-08,135.43,114.49,8.99,0.71,0.79,0.06
2020-11-15,206.29,179.0,14.05,1.29,0.71,0.06
2020-11-22,260.57,231.35,18.16,1.43,0.83,0.07
2020-11-29,229.86,263.73,20.7,1.0,1.02,0.08
2020-12-06,309.14,263.78,20.71,1.57,1.13,0.09
2020-12-13,318.86,307.43,24.13,1.57,1.31,0.1
2020-12-20,435.86,393.39,30.88,1.57,1.45,0.11
2020-12-27,418.86,452.96,35.55,2.29,1.55,0.12
2021-01-03,504.57,449.54,35.29,2.71,1.95,0.15
2021-01-10,559.14,574.99,45.13,4.29,2.35,0.18
